Номенклатура АлгаДистрибьюшн факт;Наименование от производителя
1ЭЭ02014 Шампунь для волос SPUMA 400 ml с экстрактом алое вера;Шампунь для волос с экстрактом алое вера / Shampoo for hair with aloe vera extract
1ЭЭ02015 Шампунь для волос SPUMA 1000 ml Козье молоко;Шампунь для волос Козье молоко / Shampoo for hair Goat milk
1ЭЭ02016 Шампунь для волос SPUMA 1000 ml Кефир;Шампунь для волос Кефир / Shampoo for hair  Kefir (Sour milk)
1ЭЭ02017 Шампунь ERSOLLE 1000 ml для нормалных волос;Шампунь для нормалных волос / Shampoo for normal hair
1ЭЭ02018 Шампунь ERSOLLE 1000 ml питание и укрепление волос;Шампунь питание и укрепление волос / Shampoo nutrition and hair strengthening
1ЭЭ02019 Шампунь ERSOLLE 1000 ml питательный для всех типов волос;Шампунь питательный для всех типов волос / Shampoo nourishing for all hair types
1ЭЭ02020 Шампунь ERSOLLE 1000 ml шоколадный для интенсивного ухода за жирными волосами;Шампунь шоколадный для интенсивного ухода за жирными волосами /                   Shampoo chocolate for intensive care for oily hair
1ЭЭ02021 Шампунь для волос INTENSIVE 410 мл;Шампунь для волос INTENSIVE «Éclair»,  405 мл / Shampoo for hair  
1ЭЭ02022 Детский шампунь HANY 240 ml с Д - пантенолом и экстрактом алоэ-вера;Детскый шампунь с Д - пантенолом и экстрактом алоэ-вера /                                                  Baby shampoo with D-panthenol and aloe vera extract
1ЭЭ02023 Детский шампунь HANY 240 ml без алергенный с экстрактом ромашки;Детскый шампунь без алергенный с экстрактом ромашки /                                                  Allergenic-free baby shampoo with chamomile extract
1ЭЭ02024 Шампунь для тусклых и ломких волос SILQUA KERATIN 230 ml;KERATIN Шампунь для тусклых и ломких волос /                                                  KERATIN Shampoo for dull and brittle hair
1ЭЭ02025 Шампунь против перхоти SILQUA ANTI DANDRUFF 230 ml;ANTI DANDRUFF Шампунь против перхоти /                                                                ANTI-DANDRUFF Anti-dandruff shampoo
"1ЭЭ02026 Шампунь для частого применения ""CAREAL"" PERFUME AROMA 1000 ml";"Шампунь для частого применения ""CAREAL"" «PERFUME AROMA» /                                                  Shampoo for frequent use ""CAREAL"" «PERFUME AROMA»"
"1ЭЭ02027 Шампунь для всей семьи ""CAREAL"" TEA TREE 1000 ml";"Шампунь для всей семьи ""CAREAL"" «TEA TREE» /                                                  Shampoo for the whole family ""CAREAL"" «TEA TREE»"
"1ЭЭ02028 Шампунь для всех типов волос ""CAREAL"" FLOWER AROMA 1000 ml";"Шампунь для всех типов волос ""CAREAL"" «FLOWER AROMA» /                                                                Shampoo for all hair types ""CAREAL"" «FLOWER AROMA»"
1ЭЭ02029 Одноразовый Восстанавливающий шампунь с Д - пантенолом 10 мл;Восстанавливающий шампунь с Д - пантенолом 10 мл  «Éclair» /                    Shampoo intensive hair restoration with D-panthenol 
1ЭЭ02030 Окрашивающий шампунь чёрный для борьбы с сединой 25 мл;Окрашивающий шампунь  чёрный для борьбы с сединой 25 мл /                          Coloring shampoo black «Éclair» is a cpecial anti gray 25 ml
1ЭЭ02031 Окрашивающий шампунь темно-коричневый для борьбы с сединой 25 мл;Окрашивающий шампунь темно-корычневый для борьбы с сединой 25 мл /                     Coloring shampoo dark brown is a cpecial anti gray 25 ml
1ЭЭ02032 Шампунь для волос 500 мл Shampoo for hair 500 ml Amfiora черный тмин;Шампун для волос 500 мл / Shampoo for hair 500 ml 
1ЭЭ02033 Шампунь мужской Двойная Сила Exxper 400 мл;"Шампунь для волос ""Двойная сила для интенсивного ухода"" 400 мл /                         Hair shampoo ""Double strength for intensive care"" 400 ml"
"1ЭЭ02034 Детский шампунь ""UPPY"" clair без сульфатов и краситилей 250 мл";"Детский шампунь ""UPPY"" «Éclair» без сульфатов и краситилей 250 мл /                     Baby shampoo ""UPPY"" «Éclair» without sulfates and dyes 250 ml"
1ЭЭ02035 шампунь Anti Yellow эффект 900 мл;
1ЭЭ02036 шампунь Ellice без сульфатный для ухода за окрашенными волосами;
1ЭЭ02037 шампунь Ellice для защиты сохранение цветы 900 мл;
1ЭЭ02038 шампунь Ellice для сухих и поврежденных волос на основе арганного масло;
1ЭЭ02039 шампунь Ellice против перхити просто 900мл;
1ЭЭ02040 шампунь Ellice для всех типов волос 900 мл;
"1ЭЭ02041 Шампунь ""BELANSA"" FAMILY 1100 ml, мягкость и зашита волос";"Шампунь для частого применения, мягкость и зашита волос ""BELANSA"" «FAMILY» / Shampoo for comfort and hydration ""BELANSA"" «FAMILY»"
"1ЭЭ02042 Шампунь ""BELANSA"" CALENDULA 1100 ml свежесть и объем волос";"Шампунь  на каждқй день, свежесть и объем волос ""BELANSA"" «CALENDULA» /                                                  Shampoo for ultra freshness ""BELANSA"" «CALENDULA»"
